IMG;BENE_CULTURALE;TITOLO;SOGGETTO;TIPO_SCHEDA;CODICE_UNIVOCO;LOCALIZZAZIONE;CONTENITORE;DATAZIONE;AMBITO_CULTURALE;AUTORE;MATERIA_TECNICA;MISURE;CONDIZIONE_GIURIDICA;DATI_ANALITICI;ISCRIZIONE;NOTIZIE_STORICO-CRITICHE;ALTRA_LOCALIZZAZIONE;REPERIMENTO;ALTRE_ATTRIBUZIONI;COMMITTENZA;DATI_CATASTALI;GEOREFERENZIAZIONE;BIBLIOGRAFIA;DEFINIZIONE;DENOMINAZIONE;CLASSIFICAZIONE;REGIONE;PROVINCIA;COMUNE;LOCALITA;TOPONIMO;DIOCESI;INDIRIZZO;PROVVEDIMENTI_TUTELA;INVENTARIO;STIMA;RAPPORTO;ALTRI_CODICI;ENTE_SCHEDATORE;ENTE_COMPETENTE;AUTORI;ANNO_CREAZIONE;ANNO_MODIFICA;LAT;LON
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD12500/ICCD6132907_dd000337.jpg;"FUSTO DI COLONNA, FRAMMENTO";"";"";"OA_2.00";"18 00053823";"RC, POLISTENA";"MUSEO CIVICO";"SECC. XVI/ XVIII ; 1500  - 1799 [CONTESTO]";"AMBITO LOCALE";"";"PIETRA GRANITICA";"alt. 89, diam. 32, ";"PROPRIETA' ENTE LOCALE, COMUNE DI POLISTENA";"";"";"";"RC, POLISTENA";"";"";"";"";"";"";"FUSTO DI COLONNA";"";"";"";"RC";"POLISTENA";"";"";"";"";"";"";"";"";"";"C337 (L.160/88)";"S14";"Compilatore scheda: LOJACONO L.; Funzionario responsabile: IANNACE R.; Aggiornamento-revisione: ICCD (2001); ";"1995";"2001";38.412255;16.059411
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD12500/ICCD6132905_dd000335.jpg;"RILIEVO, FRAMMENTO";"";"";"OA_2.00";"18 00053821";"RC, POLISTENA";"MUSEO CIVICO";"SECC. XVI/ XVIII ; 1500  - 1799 [ANALISI STILISTICA]";"AMBITO LOCALE";"";"MARMO SCOLPITO";"alt. 13.4, largh. 12.7, prof. 14.5, ";"PROPRIETA' ENTE LOCALE, COMUNE DI POLISTENA";"PRESENTA UN MOTIVO A VOLUTA";"";"";"RC, POLISTENA";"";"";"";"";"";"";"RILIEVO";"";"";"";"RC";"POLISTENA";"";"";"";"";"";"";"";"";"";"C337 (L.160/88)";"S14";"Compilatore scheda: LOJACONO L.; Funzionario responsabile: IANNACE R.";"1995";"";38.412255;16.059411
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD12500/ICCD6132920_dd000350.jpg;"PALIOTTO, FRAMMENTO";"";"";"OA_2.00";"18 00053836";"RC, POLISTENA";"MUSEO CIVICO";"SEC. XVIII ; 1700  - 1799 [ANALISI STILISTICA]";"AMBITO LOCALE";"";"MARMO SCOLPITO";"";"PROPRIETA' ENTE LOCALE, COMUNE DI POLISTENA";"";"";"";"RC, CINQUEFRONDI";"";"";"";"";"";"";"PALIOTTO";"";"";"";"RC";"POLISTENA";"";"";"";"";"";"";"";"";"";"C337 (L.160/88)";"S14";"Compilatore scheda: LOJACONO L.; Funzionario responsabile: IANNACE R.";"1995";"";38.412255;16.059411
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD12500/ICCD6132911_dd000341.jpg;"SCULTURA";"";"SAN SEBASTIANO";"OA_2.00";"18 00053827";"RC, POLISTENA";"MUSEO CIVICO";"SEC. XVIII ; 1700  - 1799 [ANALISI STILISTICA]";"AMBITO MERIDIONALE";"";"TERRACOTTA DIPINTALEGNO";"alt. 64, largh. 21, ";"PROPRIETA' ENTE LOCALE, COMUNE DI POLISTENA";"";"";"";"RC, POLISTENA";"";"";"";"";"";"";"SCULTURA";"";"";"";"RC";"POLISTENA";"";"";"";"";"";"";"";"";"";"C337 (L.160/88)";"S14";"Compilatore scheda: LOJACONO L.; Funzionario responsabile: IANNACE R.";"1995";"";38.412255;16.059411
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD12500/ICCD6133042_dd000475.jpg;"DIPINTO";"";"FRATE DOMENICANO CHE LEGGE";"OA_2.00";"18 00053954";"RC, REGGIO CALABRIA";"MUSEO ARCHEOLOGICO NAZIONALE, LABORATORIO DI RESTAURO, SOPPALCO";"SEC. XVII ; 1700  - 1799 [ANALISI STILISTICA]";"AMBITO NAPOLETANO";"";"OLIO SU TELA";"alt. 88.2, largh. 70, ";"PROPRIETA' ENTE LOCALE, COMUNE DI REGGIO CALABRIA";"";" Posizione: SUL RETRO DELLA TELA; RESTAURATO DAL / PROF. MICHELE PRESTIPINO DA/ REGGIO CAL. 1962";"";"RC, REGGIO CALABRIA";"";"";"";"";"";"";"DIPINTO";"";"";"";"RC";"REGGIO CALABRIA";"";"";"";"";"";"";"";"";"";"C337 (L.160/88)";"S14";"Compilatore scheda: LOJACONO L.; Funzionario responsabile: IANNACE R.";"1995";"";;
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD12500/ICCD6133044_dd000477.jpg;"DIPINTO";"";"MADONNA CHE INSEGNA A LEGGERE A GESU' BAMBINO";"OA_2.00";"18 00053956";"RC, REGGIO CALABRIA";"MUSEO ARCHEOLOGICO NAZIONALE, LABORATORIO DI RESTAURO, SOPPALCO";"SEC. XVI ; 1600  - 1699 [ANALISI STILISTICA]";"AMBITO MERIDIONALE";"";"OLIO SU TELA";"alt. 75, largh. 61.3, ";"PROPRIETA' ENTE LOCALE, COMUNE DI REGGIO CALABRIA";"HA CORNICE IN LEGNO INTAGLIATO E DORATOLA MADONNA TIENE L'INDICE SINISTRO TRA LE PAGINE DI UN LIBRO E COL BRACCIO DESTRO ABBRACCIA GESU' RAGAZZO. SULLO SFONDO A DESTRA SONO DUE ANGELI";"";"";"RC, REGGIO CALABRIA";"";"";"";"";"";"";"DIPINTO";"";"";"";"RC";"REGGIO CALABRIA";"";"";"";"";"";"";"";"";"";"C337 (L.160/88)";"S14";"Compilatore scheda: LOJACONO L.; Funzionario responsabile: IANNACE R.";"1995";"";;
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD12500/ICCD6133049_dd000482.jpg;"DIPINTO";"";"PAESAGGIO CON FORTIFICAZIONI";"OA_2.00";"18 00053961";"RC, REGGIO CALABRIA";"MUSEO ARCHEOLOGICO NAZIONALE, LABORATORIO DI RESTAURO, SOPPALCO";"SEC. XVIII ; 1800  - 1899 [ANALISI STILISTICA]";"AMBITO NAPOLETANO";"";"OLIO SU TELA";"alt. 49.5, largh. 73.6, ";"PROPRIETA' ENTE LOCALE, COMUNE DI REGGIO CALABRIA";"";" Posizione: SUL RETRO DELLA TELA; RESTAURATO DAL/ PROF. MICHELE PRESTIPINO DA /REGGIO CAL. 1960";"";"RC, REGGIO CALABRIA";"";"";"";"";"";"";"DIPINTO";"";"";"";"RC";"REGGIO CALABRIA";"";"";"";"";"";"";"";"";"";"C337 (L.160/88)";"S14";"Compilatore scheda: LOJACONO L.; Funzionario responsabile: IANNACE R.";"1995";"";;
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD12500/ICCD6133050_dd000483.jpg;"DIPINTO";"";"PAESAGGIO MARINO CON ISOLOTTO";"OA_2.00";"18 00053962";"RC, REGGIO CALABRIA";"MUSEO ARCHEOLOGICO NAZIONALE, LABORATORIO DI RESTAURO, SOPPALCO";"SEC. XIX ; 1800  - 1899 [ANALISI STILISTICA]";"AMBITO NAPOLETANO";"";"OLIO SU TELA";"alt. 49.5, largh. 74.3, ";"PROPRIETA' ENTE LOCALE, COMUNE DI REGGIO CALABRIA";"HA UNA TENUE CROMIA";"";"";"";"";"";"";"";"";"";"DIPINTO";"";"";"";"RC";"REGGIO CALABRIA";"";"";"";"";"";"";"";"";"";"C337 (L.160/88)";"S14";"Compilatore scheda: LOJACONO L.; Funzionario responsabile: IANNACE R.";"1995";"";;
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD12500/ICCD6133051_dd000484.jpg;"DIPINTO";"";"PAESAGGIO CON ALBERI E FIGURA";"OA_2.00";"18 00053963";"RC, REGGIO CALABRIA";"MUSEO ARCHEOLOGICO NAZIONALE, LABORATORIO DI RESTAURO, SOPPALCO";"SEC. XIX ; 1800  - 1899 [ANALISI STILISTICA]";"AMBITO MERIDIONALE";"";"OLIO SU TELA";"alt. 30.5, largh. 40.1, ";"PROPRIETA' ENTE LOCALE, COMUNE DI REGGIO CALABRIA";"";" Posizione: SUL RETRO DELLA TELA; ALL'ORNATISSIMO SIGNORE/CA.RE (...) IGNAZIO LAVAGNA/ IN SEGNO DELL'ANTICAE SINCERA AMICIZIA. L'AUTORE";"";"";"";"";"";"";"";"";"DIPINTO";"";"";"";"RC";"REGGIO CALABRIA";"";"";"";"";"";"";"";"";"";"C337 (L.160/88)";"S14";"Compilatore scheda: LOJACONO L.; Funzionario responsabile: IANNACE R.";"1995";"";;
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD12500/ICCD6133053_dd000486.jpg;"DIPINTO";"";"PAESAGGIO CON SAN GIOVANNI BATTISTA";"OA_2.00";"18 00053965";"RC, REGGIO CALABRIA";"MUSEO ARCHEOLOGICO NAZIONALE, LABORATORIO DI RESTAURO, SOPPALCO";"SEC. XVII ; 1800  - 1899 [ANALISI STILISTICA]";"AMBITO MERIDIONALE";"";"OLIO SU TELA";"alt. 48.5, largh. 66, ";"PROPRIETA' ENTE LOCALE, COMUNE DI REGGIO CALABRIA";"";" Posizione: SUL RETRO DELLA TELA; B. N. 24";"";"RC, REGGIO CALABRIA";"";"";"";"";"";"";"DIPINTO";"";"";"";"RC";"REGGIO CALABRIA";"";"";"";"";"";"";"";"";"";"C337 (L.160/88)";"S14";"Compilatore scheda: LOJACONO L.; Funzionario responsabile: IANNACE R.";"1995";"";;
