IMG;BENE_CULTURALE;TITOLO;SOGGETTO;TIPO_SCHEDA;CODICE_UNIVOCO;LOCALIZZAZIONE;CONTENITORE;DATAZIONE;AMBITO_CULTURALE;AUTORE;MATERIA_TECNICA;MISURE;CONDIZIONE_GIURIDICA;DATI_ANALITICI;ISCRIZIONE;NOTIZIE_STORICO-CRITICHE;ALTRA_LOCALIZZAZIONE;REPERIMENTO;ALTRE_ATTRIBUZIONI;COMMITTENZA;DATI_CATASTALI;GEOREFERENZIAZIONE;BIBLIOGRAFIA;DEFINIZIONE;DENOMINAZIONE;CLASSIFICAZIONE;REGIONE;PROVINCIA;COMUNE;LOCALITA;TOPONIMO;DIOCESI;INDIRIZZO;PROVVEDIMENTI_TUTELA;INVENTARIO;STIMA;RAPPORTO;ALTRI_CODICI;ENTE_SCHEDATORE;ENTE_COMPETENTE;AUTORI;ANNO_CREAZIONE;ANNO_MODIFICA;LAT;LON
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1028863/ICCD11873892_273577.JPG;"anfora, Dressel 6A";"";"";"RA_3.00";"08 00602395";"ITALIA, Emilia-Romagna, MO, Finale Emilia, FINALE EMILIAvia Trento Trieste";"museo, Castello delle Rocche, Museo civico ""R. Ferraresi"", via Trento Trieste";"I a.C.-I d.C. metà/ metà[analisi dei materiali]";"";"";"argilla/ a colombino, a tornio";"cm, alt. 38, diam. 15,8, ";"proprietà Stato";"porzione superiore (orlo-collo-inizio spalla-anse) di anfora tipo Dressel 6A di produzione nord-italica; argilla giallino-rosata depurata";"";"";"";"";"";"";"";"";"";"anfora, Dressel 6A";"";"STRUMENTI, UTENSILI E OGGETTI D’USO/ CONTENITORI E RECIPIENTI/ CERAMICA/ Anfore da trasporto";"Emilia-Romagna";"MO";"Finale Emilia";"FINALE EMILIA";"";"";"via Trento Trieste";"";"";"";"";"";"S06";"S06";"Compilatore scheda: Corti, Carla; ; Funzionario responsabile: Referente scientifico: Campagnari, SaraCampagnari, Sara";"2015";"";44.837329;11.301403
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1028863/ICCD11878754_273311.jpg;"ciotola";"";"";"RA_3.00";"08 00602535";"ITALIA, Emilia-Romagna, MO, Finale Emilia, FINALE EMILIAvia Trento Trieste";"museo, Castello delle Rocche, Museo civico ""R. Ferraresi"", via Trento Trieste";"XVII [analisi dei materiali]";"";"";"argilla/ a tornio, ingobbiatura, a graffito, invetriatura";"cm, alt. 5,1, diam. 6,5, ";"proprietà Stato";"ciotola frammentria in ceramica graffita; nel cavetto cuore fiammante; dipinta in bruno e verde";"";"";"";"";"";"";"";"";"";"ciotola";"";"STRUMENTI, UTENSILI E OGGETTI D’USO/ CONTENITORI E RECIPIENTI/ CERAMICA";"Emilia-Romagna";"MO";"Finale Emilia";"FINALE EMILIA";"";"";"via Trento Trieste";"";"";"";"";"";"S06";"S06";"Compilatore scheda: Corti, Carla; ; Funzionario responsabile: Referente scientifico: Campagnari, SaraCampagnari, Sara";"2015";"";44.837329;11.301403
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1028863/ICCD11878076_273150.jpg;"scodella";"";"";"RA_3.00";"08 00602504";"ITALIA, Emilia-Romagna, MO, Finale Emilia, FINALE EMILIAvia Trento Trieste";"museo, Castello delle Rocche, Museo civico ""R. Ferraresi"", via Trento Trieste";"XVII [analisi dei materiali]";"";"";"argilla/ a tornio, ingobbiatura, a graffito, invetriatura";"cm, alt. 7,8, lungh. 11,5, ";"proprietà Stato";"porzione di scodella in ceramica graffita; nel cavetto uccellino; sulla tesa motivo vegetale; sul fondo esterno lettere graffite post cottura: SLL; dipinta in verde e giallo-bruno";"";"";"";"DATI DI SCAVO: Denominazione dello scavo: Finale Emilia, ex monastero di Santa Chiara, Responsabile scientifico: Gruppo R6J6, Data: 1987, Bibliografia specifica :Gelichi S., Librenti M., 1998, Senza immensa dote. Le Clarisse a Finale Emilia tra archeologia e storia, Firenze, ";"";"";"";"";"";"scodella";"";"STRUMENTI, UTENSILI E OGGETTI D’USO/ CONTENITORI E RECIPIENTI/ CERAMICA";"Emilia-Romagna";"MO";"Finale Emilia";"FINALE EMILIA";"";"";"via Trento Trieste";"";"";"";"";"";"S06";"S06";"Compilatore scheda: Corti, Carla; ; Funzionario responsabile: Referente scientifico: Campagnari, SaraCampagnari, Sara";"2015";"";44.837329;11.301403
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1028863/ICCD11874642_273166.JPG;"piatto";"";"";"RA_3.00";"08 00602443";"ITALIA, Emilia-Romagna, MO, Finale Emilia, FINALE EMILIAvia Trento Trieste";"museo, Castello delle Rocche, Museo civico ""R. Ferraresi"", via Trento Trieste";"XVII [analisi dei materiali]";"";"";"argilla/ a tornio, ingobbiatura, a graffito, invetriatura";"cm, alt. 4,7, diam. 19,6, ";"proprietà Stato";"piatto frammentario in ceramica graffita; nel cavetto e sulla tesa motivi vegetali stilizzati con girali e ovuli; dipinto in verde e bruno";"";"";"";"ALTRE INDAGINI: Tipo: attività di manutenzione, Data:1972, ";"";"";"";"";"";"piatto";"";"STRUMENTI, UTENSILI E OGGETTI D’USO/ CONTENITORI E RECIPIENTI/ CERAMICA";"Emilia-Romagna";"MO";"Finale Emilia";"FINALE EMILIA";"";"";"via Trento Trieste";"";"";"";"";"";"S06";"S06";"Compilatore scheda: Corti, Carla; ; Funzionario responsabile: Referente scientifico: Campagnari, SaraCampagnari, Sara";"2015";"";44.837329;11.301403
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1028863/ICCD11876669_273243.JPG;"catino";"";"";"RA_3.00";"08 00602496";"ITALIA, Emilia-Romagna, MO, Finale Emilia, FINALE EMILIAvia Trento Trieste";"museo, Castello delle Rocche, Museo civico ""R. Ferraresi"", via Trento Trieste";"XVII [analisi dei materiali]";"";"";"argilla/ a tornio, ingobbiatura, invetriatura";"cm, alt. 9,8, diam. 30, ";"proprietà Stato";"catino frammentario in ceramica ingobbiata e invetriata; forma troncoconica; vetrina incolore";"";"";"";"ALTRE INDAGINI: Tipo: attività di manutenzione, Data:1972, ";"";"";"";"";"";"catino";"";"STRUMENTI, UTENSILI E OGGETTI D’USO/ CONTENITORI E RECIPIENTI/ CERAMICA";"Emilia-Romagna";"MO";"Finale Emilia";"FINALE EMILIA";"";"";"via Trento Trieste";"";"";"";"";"";"S06";"S06";"Compilatore scheda: Corti, Carla; ; Funzionario responsabile: Referente scientifico: Campagnari, SaraCampagnari, Sara";"2015";"";44.837329;11.301403
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1028863/ICCD11876677_273191.jpg;"catino";"";"";"RA_3.00";"08 00602500";"ITALIA, Emilia-Romagna, MO, Finale Emilia, FINALE EMILIAvia Trento Trieste";"museo, Castello delle Rocche, Museo civico ""R. Ferraresi"", via Trento Trieste";"XVII [analisi dei materiali]";"";"";"argilla/ a tornio, ingobbiatura, invetriatura";"cm, alt. 23, diam. 58,4, ";"proprietà Stato";"grande catino frammentario in ceramica ingobbiata, dipinta e invetriata; all'interno decorazione a bande; sull'orlo trattini obliqui; dipinto in verde e bruno;  esterno risparmiato con cordoni in rilievo, arricciati, applicati verticalmente presso l'orlo; restauri antichi";"";"";"";"ALTRE INDAGINI: Tipo: attività di manutenzione, Data:1972, ";"";"";"";"";"";"catino";"";"STRUMENTI, UTENSILI E OGGETTI D’USO/ CONTENITORI E RECIPIENTI/ CERAMICA";"Emilia-Romagna";"MO";"Finale Emilia";"FINALE EMILIA";"";"";"via Trento Trieste";"";"";"";"";"";"S06";"S06";"Compilatore scheda: Corti, Carla; ; Funzionario responsabile: Referente scientifico: Campagnari, SaraCampagnari, Sara";"2015";"";44.837329;11.301403
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1028863/ICCD11874684_273176.jpg;"fiasca";"";"";"RA_3.00";"08 00602451";"ITALIA, Emilia-Romagna, MO, Finale Emilia, FINALE EMILIAvia Trento Trieste";"museo, Castello delle Rocche, Museo civico ""R. Ferraresi"", via Trento Trieste";"XVII [analisi dei materiali]";"";"";"argilla/ a tornio, ingobbiatura, a graffito, invetriatura";"cm, alt. 30,1, largh. 15, diam. 3,5, ";"proprietà Stato";"fiasca da pellegrino frammentaria in ceramica graffita; decorazione vegetale stilizzata con foglie piumate, girali, fiori e ovuli; dipinta in verde e giallo-bruno; fondo esterno risparmiato";"";"";"";"ALTRE INDAGINI: Tipo: attività di manutenzione, Data:1972, ";"";"";"";"";"";"fiasca";"";"STRUMENTI, UTENSILI E OGGETTI D’USO/ CONTENITORI E RECIPIENTI/ CERAMICA";"Emilia-Romagna";"MO";"Finale Emilia";"FINALE EMILIA";"";"";"via Trento Trieste";"";"";"";"";"";"S06";"S06";"Compilatore scheda: Corti, Carla; ; Funzionario responsabile: Referente scientifico: Campagnari, SaraCampagnari, Sara";"2015";"";44.837329;11.301403
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1028863/ICCD11874551_273203.jpg;"ciotola";"";"";"RA_3.00";"08 00602436";"ITALIA, Emilia-Romagna, MO, Finale Emilia, FINALE EMILIAvia Trento Trieste";"museo, Castello delle Rocche, Museo civico ""R. Ferraresi"", via Trento Trieste";"XVII [analisi dei materiali]";"";"";"argilla/ a tornio, ingobbiatura, a graffito, invetriatura";"cm, alt. 4,7, diam. 20,9, ";"proprietà Stato";"ciotola in ceramica graffita a fondo risparmiato; nel cavetto scacchiera entro cerchio circondato da foglie stilizzate; sulla tesa girali; dipinta in verde e giallo";"";"";"";"ALTRE INDAGINI: Tipo: attività di manutenzione, Data:1972, ";"";"";"";"";"";"ciotola";"";"STRUMENTI, UTENSILI E OGGETTI D’USO/ CONTENITORI E RECIPIENTI/ CERAMICA";"Emilia-Romagna";"MO";"Finale Emilia";"FINALE EMILIA";"";"";"via Trento Trieste";"";"";"";"";"";"S06";"S06";"Compilatore scheda: Corti, Carla; ; Funzionario responsabile: Referente scientifico: Campagnari, SaraCampagnari, Sara";"2015";"";44.837329;11.301403
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1028863/ICCD11876675_273246.jpg;"catino";"";"";"RA_3.00";"08 00602499";"ITALIA, Emilia-Romagna, MO, Finale Emilia, FINALE EMILIAvia Trento Trieste";"museo, Castello delle Rocche, Museo civico ""R. Ferraresi"", via Trento Trieste";"XVII [analisi dei materiali]";"";"";"argilla/ a tornio, ingobbiatura, invetriatura";"cm, alt. 11,9, diam. 30,5, ";"proprietà Stato";"catino frammentario in ceramica ingobbiata e invetriata; forma troncoconica; vetrina bruna; esterno acromo; resti del treppiede distanziatore all'interno";"";"";"";"ALTRE INDAGINI: Tipo: attività di manutenzione, Data:1972, ";"";"";"";"";"";"catino";"";"STRUMENTI, UTENSILI E OGGETTI D’USO/ CONTENITORI E RECIPIENTI/ CERAMICA";"Emilia-Romagna";"MO";"Finale Emilia";"FINALE EMILIA";"";"";"via Trento Trieste";"";"";"";"";"";"S06";"S06";"Compilatore scheda: Corti, Carla; ; Funzionario responsabile: Referente scientifico: Campagnari, SaraCampagnari, Sara";"2015";"";44.837329;11.301403
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD1028863/ICCD11876679_273192.jpg;"catino";"";"";"RA_3.00";"08 00602501";"ITALIA, Emilia-Romagna, MO, Finale Emilia, FINALE EMILIAvia Trento Trieste";"museo, Castello delle Rocche, Museo civico ""R. Ferraresi"", via Trento Trieste";"XVII [analisi dei materiali]";"";"";"argilla/ a tornio, ingobbiatura, a graffito, invetriatura";"cm, alt. 18, diam. 56, ";"proprietà Stato";"grande catino frammentario in ceramica graffita; decorazione vegetale stilizzata con ogive campite da linee sinusoidali, presenti anche all'esterno, con fiori e volute; sulla tesa e sul fondo volute; dipinto in verde e bruno";"";"";"";"ALTRE INDAGINI: Tipo: attività di manutenzione, Data:1972, ";"";"";"";"";"";"catino";"";"STRUMENTI, UTENSILI E OGGETTI D’USO/ CONTENITORI E RECIPIENTI/ CERAMICA";"Emilia-Romagna";"MO";"Finale Emilia";"FINALE EMILIA";"";"";"via Trento Trieste";"";"";"";"";"";"S06";"S06";"Compilatore scheda: Corti, Carla; ; Funzionario responsabile: Referente scientifico: Campagnari, SaraCampagnari, Sara";"2015";"";44.837329;11.301403
