 "label" , "url" , "img" , "lat" , "long" ,
 "Pinacoteca comunale di Todi. Dipinti" ,  ,  , "43.111997" , "12.389377" ,
 "Madonna con Bambino e San Giovannino" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3125293_0039_96253261_1461_img0013.jpg" , "43.161469" , "13.718271" ,
 "figure femminili al mercato della frutta" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3133945_0109_97333291_3576_IMG0093.jpg" , "43.002387" , "13.764231" ,
 "paesaggio fantastico" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3122027_13269.jpg" , "42.853613" , "13.577513" ,
 "motivi decorativi astratti" ,  ,  , "42.855116" , "13.577896" ,
 "Museo civico di Gualdo Tadino. Rocca Flea 1" ,  ,  , "43.111997" , "12.389377" ,
 "Museo comunale di San Francesco a Montone" ,  ,  , "43.111997" , "12.389377" ,
 "scena classica con due figure" ,  ,  , "42.934826" , "13.307020" ,
 "Bollettino per i beni culturali dell'Umbria. Anno 1 N° 02" ,  ,  , "43.111997" , "12.389377" ,
 "ritratto di Don Francesco Maria Fortis" ,  ,  , "43.843528" , "13.017442" ,
 "natività di Gesù con San Francesco d'Assisi" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3167858_72188-H.jpg" , "43.153825" , "13.481345" ,
 "Madonna con Bambino" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3167866_72192-H.jpg" , "43.153825" , "13.481345" ,
 "Bollettino per i beni culturali dell'Umbria. Anno 5 N° 09" ,  ,  , "43.111997" , "12.389377" ,
 "busto femminile" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3132911_0108_95613072_3007_IMG0075.jpg" , "43.002387" , "13.764231" ,
 "Giacobbe pianta le verghe" ,  ,  , "42.853715" , "13.578494" ,
 "San Sebastiano" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD8395131_80-B.jpg" , "42.995948" , "13.866633" ,
 "cavallo" ,  ,  , "42.855116" , "13.577896" ,
 "Madonna con Bambino e San Giovannino" ,  ,  , "42.853715" , "13.578494" ,
 "raccolta del grano" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3133987_0109_97333291_3576_IMG0078.jpg" , "43.002387" , "13.764231" ,
 "figure e animali" ,  ,  , "42.855116" , "13.577896" ,
 "Museo comunale di Todi. Monete" ,  ,  , "43.111997" , "12.389377" ,
 "ostensorio" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD8395102_001906I.jpg" , "43.740153" , "12.624145" ,
 "ala" ,  ,  , "43.002387" , "13.764231" ,
 "Le Acciaierie di Terni" ,  ,  , "43.111997" , "12.389377" ,
 "San Romualdo e angeli" ,  ,  , "43.612081" , "13.156319" ,
 "Raccolte comunali di Assisi. Monete, gettoni, medaglie, sigilli, misure e armi" ,  ,  , "43.111997" , "12.389377" ,
 "San Giovanni Battista" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3125407_C0334.jpg" , "43.161469" , "13.718271" ,
 "Maria Vergine bambina" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3019577_104765-H.jpg" , "43.589982" , "12.513113" ,
 "veduta di un vicolo di Sant'Elpidio a Mare" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3127643_CRBC044930XC.jpg" , "45.158683" , "9.395816" ,
 "Museo della città in Palazzo Eroli a Narni" ,  ,  , "43.111997" , "12.389377" ,
 "beato Gambacorta da Pisa" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3085584_58866-H.jpg" , "43.744606" , "12.646395" ,
 "ratto di Europa" ,  ,  , "43.665237" , "12.801397" ,
 "matrimonio mistico di Santa Caterina d'Alessandria" ,  ,  , "42.853715" , "13.578494" ,
 "Bollettino per i beni culturali dell'Umbria. Anno 3 N° 06" ,  ,  , "43.111997" , "12.389377" ,
 "Madonna con Bambino entro una lunetta" ,  ,  , "42.934826" , "13.307020" ,
 "figura maschile nuda con spaventapasseri" ,  ,  , "42.855116" , "13.577896" ,
 "pastore con gregge" ,  ,  , "42.853715" , "13.578494" ,
 "figure femminili" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3102304_CRBC045642XC.jpg" , "43.316561" , "13.679432" ,
 "Museo Regionale della Ceramica di Deruta. Ceramica greca, italiota ed etrusca, Terrecotte, lucerne e vetri" ,  ,  , "43.111997" , "12.389377" ,
